path	bytes	class	risk	reason
tmp/search-input-escape-cancel-test-results	17215	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/roster-live-REPORT.md	17194	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h1-table.md	17164	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/project-quality-wave-20260810	17046	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/state-hydration-legacy-mirror-20260816	16947	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/review-lane-wip-REPORT.md	16894	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/map-state-sweep-raw.json	16794	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-scene-perf-report.md	16772	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-explorer-next-pass-20260809	16629	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/data-pipeline-bugsweep.md	16467	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-live-telemetry-20260809	16300	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-contract-stale.md	16204	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dom-hygiene-REPORT.md	16184	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/short-landscape-parity-review.md	16043	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-ci-gate-audit-20260812	15951	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-engine-lifecycle-audit-20260812	15829	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/goal-design-mainlane-REPORT.md	15774	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave6b-p2-hardening-REPORT.md	15740	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-transition-audit-20260807	15539	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-smoke-20260812	15516	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/data-depth-audit	15513	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/demo-poller-20260811	15496	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-camera-controls-core.svelte.ts	15454	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-legacy-cruft-report.md	15438	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-filter.svelte.ts	15388	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-engine-teardown-report.md	15290	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/router-forensics-zen2-REPORT.md	15279	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/phone-swarm-docdrift-REPORT-2026-08-13.md	15204	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-dead-imports	15164	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-test-sprawl-report.md	14919	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/s4-enrichment-dry-run	14887	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/probe-hub.mjs	14842	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/svelte-check-contracts.txt	14814	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-provenance-sweep-20260814.py	14692	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/security-swarm-replacement-triage.md	14494	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/data-layer-audit-REPORT.md	14444	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-component-css	14420	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w54-visual-audit-report.md	14303	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/probe	14245	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-url-parity-report.md	14133	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave6a-p1-hardening-REPORT.md	14026	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-cluster-filter-controller.ts	13868	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/single-writer-unit-regressions-20260807	13852	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/landmine-verify-REPORT.md	13788	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave7a-p3-hardening-REPORT.md	13787	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/probe-inside-audit.mjs	13763	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/cld80211_binary_analysis.md	13739	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-lifecycle.ts	13288	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/inv-p1f-legacyState-report.md	13285	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/drift-prone-hardening-REPORT.md	13251	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/worker-a-sharding-report.md	13162	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/edge-tests-20260816	13155	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-gaps-run3.json	13104	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-audit-engine-lifecycle-20260812	13096	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/unit-engine-WIP.log	13079	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/review-map-fix-report.md	13011	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-dive-probe.mjs	13008	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/focusui-audit-REPORT.md	12997	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf_cld_probe.py	12975	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-ownership-checkpoint-20260812	12924	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/mobile-search-parity-review.md	12909	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/landmine-sweep-REPORT.md	12887	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/deferred-mcp-adversarial-review.md	12766	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-build-optimization	12674	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-gate-full.log	12631	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w57-model-benchmark-report.md	12617	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-custom-driver-20260814.patch	12587	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/shittiest-test-architecture-20260812	12555	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-chain-audit-REPORT.md	12370	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/build-gate-copy-commit.log	12369	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-custom-driver-plan-20260814.md	12357	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W3-build.log	12346	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W1-build.log	12346	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-viewport.svelte.ts	12243	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/scouter-source-report.md	12152	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-r4-carve-review2-REPORT.md	12054	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/legacy-top.txt	12034	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/diskusage-legacy.txt	12034	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave4a-contract-hardening-REPORT.md	11973	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/build-report.mjs	11955	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/app-svelte-test-refs.txt	11947	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/prod-surface-audit	11942	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/bugsweep-2.2-report.md	11940	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lint-swarm-review-report.md	11930	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/search-adversarial-run.json	11891	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-bank-report.md	11883	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/app-svelte-imports.txt	11820	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/skill-curation-report.md	11809	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-ui-audit-mobile-panel-rules.json	11785	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/security-swarm-replacement-origin.md	11760	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/contract-fixes-REPORT.md	11754	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-bugsweep-report-2.md	11743	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-camera-controls-restore.svelte.ts	11641	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/adapter-archipelago-REPORT.md	11595	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/landmine-fix2-REPORT.md	11543	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-test-sprawl	11535	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/android-ui-harness-audit-REPORT.md	11471	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-contracts.mjs	11447	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/batch-contract-results.json	11431	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ia1-REPORT.md	11419	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/session-closeout-2026-08-11.md	11393	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-qa-20260811-fixed-mobile-landscape-snapshot.md	11323	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h1-head.md	11289	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parallel-session-drift-report.md	11283	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/baseline-sync-report.md	11250	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ui-vision-report.md	11236	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/focus-ui-split-NOTES.md	11204	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-launch-latency-diagnosis.md	11189	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/nvidia-glm52-bugsweep-report.md	11187	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-mode-bugsweep.md	11183	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/inv-renderloop-sync-audit-report.md	11175	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-body-data-selectors.txt	11150	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/model-health-ledger-impl-20260816	11148	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-provenance-gate-20260814.py	11074	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-qa-20260811-final-mobile-landscape-snapshot.md	10995	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/surface-out.txt	10899	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rebuild.log	10791	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/test-suite2.json	10788	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-visual-audit-report.md	10772	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/unstaged-wave-review-20260807	10734	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kraken-prompt-threat-assessment.md	10715	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/verify-engine.log	10705	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/compress-lane-inventory.mjs	10698	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h3sa-vitest.log	10697	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h3sa-vitest-final.log	10695	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/engine-hover-FORENSICS-REPORT.md	10643	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/diag-probes	10584	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/review-bigfile-coverage.md	10578	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/baseline-smoke.log	10524	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/build.log	10452	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/phone-root-swarm-rf-feasibility.md	10415	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/normalize-carve.txt	10367	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/du-profile-top.txt	10344	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-parity-css.txt	10261	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-jd-B.md	10248	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W2-phase34-css-motion	10194	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/smoke-fixed.log	10086	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-map-state-cleanup-verifier-20260812	10071	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-strip-ready-REPORT.md	10056	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-L3-journey.md	10050	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-L3-gap.md	10050	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave7b-p3-timers-REPORT.md	9977	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/nvidia-glm52-phase0-report.md	9946	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/thread-manager-split-PLAN.md	9910	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/deployability-audit	9815	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/adapter-audit.mjs	9793	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/urlstate-review-REPORT.md	9765	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/team-r4-overlay-freeze-audit-report.md	9688	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/bsA-threads-REPORT.md	9605	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-css-modegrid	9582	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/search-filter-bugsweep.md	9568	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-dual-demo-report.md	9552	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ia1-vitest-three.log	9549	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-provenance-sweep-report-20260814.json	9538	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/zydit-nvidia-health-report-2026-07-23.md	9527	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/data-store-seam-brief.md	9461	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/final-adversarial.mjs	9431	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/scouter-test-report.md	9335	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/adapter-fold-REPORT.md	9333	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ts-resolve-loader.prev.mjs	9318	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/worker-config-fixer-report.md	9290	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/worker-c-triage-report.md	9287	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/mcp-tool-fix-report-hy3.md	9279	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/timer-remediation-review-report.md	9278	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/three-star-verified-REPORT.md	9183	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/timer-remediation-audit-report.md	9152	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-oem-abi-static-review.md	9142	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/contract-suite-report.md	9114	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-docs-drift-REPORT.md	9056	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-wave-kiro-auto.md	9028	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lint-WIP.log	8942	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-3d-admission-repair-20260812	8837	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lifecycle-split-PLAN.md	8825	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-engine-restore-lifecycle-20260812	8800	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-get-audit.md	8791	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w53-fixes-jury-report.md	8787	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/inv-errorstate-seam-report.md	8666	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-implement-engine-restore-teardown-20260812	8658	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-engineering-firmware-research.md	8628	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-r5-android-verify-REPORT.md	8620	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w58-mimo-engine-report.md	8471	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-map-state-boundary-20260812	8459	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-index.svelte.ts	8402	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/compress-daily-logs.mjs	8392	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h3sa-diff-src-vs-corridor.txt	8382	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-gaps-stdout.log	8305	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/delegation-wave-20260810	8304	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-background-jobs-20260809	8234	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-router-investigation.md	8204	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w58-zydit-v1-audit-report.md	8133	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/probe-chain.log	8043	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-map-state-parity-20260812	8006	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-unique-data-attrs.txt	8006	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-sweep-tmp-REPORT.md	7982	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/entry-point-cleanup	7962	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/url-restore-camera-race-20260816	7917	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w58-codestral-22b-orchestration-report.md	7889	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/nvidia-subagent-wedge-report.md	7873	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/android-phone-cdp-playtest.mjs	7837	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/twins-contract-coverage.md	7785	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-goal-parity-swarm-20260810	7784	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/goal-loop-live-REPORT.md	7780	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wedge-bisect-report.md	7745	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/bugsweep-kimi-k2.7-code-report.md	7700	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-ui-audit-desktop-ready.md	7694	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/picker-capability-metadata-logfare-review	7693	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/unit-test-fixes-cbc770bb-REPORT.md	7662	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-audit-mediumlow-report.md	7653	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-reasoning-config-report.md	7585	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/loader-bank-REPORT.md	7578	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-seam-verifier-20260812	7572	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/cline-step-direct-20260812.jsonl	7557	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/catalog-authority-review-kilo	7501	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/skills-frontmatter-REPORT.md	7494	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-wsm-audit-report.md	7425	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/scouter-visual-agnes-report.md	7341	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/url-export-audit-a-REPORT.md	7333	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lint-swarm-orchestration-report.md	7279	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/curve-equiv-probe.mjs	7227	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/data-store-review-report.md	7194	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/sweep-engine-adjacent-REPORT.md	7185	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave4b-journey-lowtier-REPORT.md	7117	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/apply-journey-fixes.cjs	7102	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/store-migration-audit.md	7059	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/wave5a-named-drift-prone-REPORT.md	7042	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-contract-coverage.md	7031	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/gate-delta-final-REPORT.md	7027	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-disposable-registry.ts	7026	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/v2-integration-report.md	7022	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-ui-audit-mobile-geometry.json	7021	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/header-mode-nav-audit.md	6971	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/tmp-sweep-candidates.md	6945	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf_nl_probe.py	6944	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-wave-ledger.md	6943	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-dive-2026-08-06.jsonl	6915	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf_cld_adc_adapter.py	6904	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-dive-REPORT-WB.md	6901	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/build-warning-resolution	6861	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/url-family-audit-REPORT.md	6845	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/.htaccess.bak	6829	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/shittiest-ui-journey-20260812	6792	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-qa-report-2026-07-15.md	6767	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-final.mjs	6759	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lint-swarm-timers-report.md	6748	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/sa2-REPORT.md	6672	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/sweep-journey2-REPORT.md	6637	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-bugsweep-report.md	6616	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-bugsweep-2026-08-09.md	6586	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/jd-diff.txt	6567	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/sweep-search-deep-REPORT.md	6565	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-gaps-v2.log	6561	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/hexagon-census.py	6525	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
